x	y
2.500	72
4.467	88 
2.333	62 
5.000	87
1.683	57 
4.500	94 
4.500	91 
2.083	51 
4.367	98 
1.583	59 
4.500	93 
4.550	86 
1.733	70 
2.150	63 
4.400	91 
3.983	82 
1.767	58 
4.317	97 
1.917	59 
4.583	90 
1.833	58 
4.767	98 
1.917	55 
4.433	107 
1.750	61 
4.583	82 
3.767	91 
1.833	65 
4.817	97
1.900	52 
4.517	94 
2.000	60 
4.650	84 
1.817	63 
4.917	91 
4.000	83 
4.317	84 
2.133	71 
4.783	83 
4.217	70 
4.733	81 
2.000	60 
4.717	91 
1.917	51 
4.233	85 
1.567	55 
4.567	98 
2.133	49 
4.500	85 
1.717	65 
4.783	102 
1.850	56 
4.583	86
1.733	62
