x	y	Thiknes	Code
6.85	7.10	6.85	X
6.60	7.05	6.60	X
6.70	6.70	6.70	X
6.75	6.75	6.75	X
6.75	6.90	6.75	X
6.90	6.90	6.90	X
6.85	6.65	6.85	X
6.90	6.60	6.90	X
6.70	6.55	6.70	X
6.85	6.55	6.85	X
6.60	6.85	6.60	X
6.70	6.90	6.70	X
6.75	6.60	6.75	X
6.70	6.85	6.70	X
6.70	6.95	6.70	X
6.70	7.10	6.70	X
6.55	6.95	6.55	X
6.60	6.90	6.60	X
6.95	7.15	6.95	X
6.95	7.05	6.95	X
6.80	6.70	6.80	X
6.80	6.90	6.80	X
6.70	6.85	6.70	X
6.75	6.95	6.75	X
6.60	7.05	6.60	X
6.70	6.75	6.70	X
6.65	6.90	6.65	X
6.55	6.80	6.55	X
6.55	6.70	6.55	X
6.60	6.75	6.60	X
6.60	6.90	6.60	X
6.70	6.90	6.70	X
6.80	6.70	6.80	X
6.75	6.70	6.75	X
6.60	6.90	6.60	X
6.75	6.90	6.75	X
6.50	6.70	6.50	X
6.75	6.70	6.75	X
6.70	6.90	6.70	X
6.65	6.95	6.65	X
6.70		6.70	X
6.70		6.70	X
6.55		6.55	X
6.65		6.65	X
6.60		6.60	X
6.65		6.65	X
6.60		6.60	X
6.65		6.65	X
6.80		6.80	X
6.60		6.60	X
		7.10	Y
		7.05	Y
		6.70	Y
		6.75	Y
		6.90	Y
		6.90	Y
		6.65	Y
		6.60	Y
		6.55	Y
		6.55	Y
		6.85	Y
		6.90	Y
		6.60	Y
		6.85	Y
		6.95	Y
		7.10	Y
		6.95	Y
		6.90	Y
		7.15	Y
		7.05	Y
		6.70	Y
		6.90	Y
		6.85	Y
		6.95	Y
		7.05	Y
		6.75	Y
		6.90	Y
		6.80	Y
		6.70	Y
		6.75	Y
		6.90	Y
		6.90	Y
		6.70	Y
		6.70	Y
		6.90	Y
		6.90	Y
		6.70	Y
		6.70	Y
		6.90	Y
		6.95	Y
