Group	x
1	7.97
1	8.10
1	7.73
1	8.26
1	7.30
2	8.11
2	7.26
2	7.99
2	7.88
2	8.88
3	7.60
3	8.23
3	8.07
3	8.51
3	8.05
4	8.44
4	4.35
4	4.33
4	4.48
4	3.89
5	5.11
5	4.05
5	5.62
5	4.13
5	5.01
6	4.79
6	5.25
6	5.19
6	5.23
6	3.97
7	4.47
7	4.58
7	5.35
7	5.86
7	5.61
8	5.82
8	4.51
8	5.38
8	5.01
8	5.54
9	5.06
9	4.98
9	4.13
9	4.58
9	4.35
10	4.74
10	3.77
10	5.05
10	4.03
10	4.29
11	4.05
11	3.71
11	4.73
11	3.51
11	4.76
12	3.94
12	5.72
12	5.07
12	5.09
12	4.61
13	4.63
13	3.79
13	4.69
13	5.13
13	4.66
14	4.30
14	4.07
14	4.39
14	4.63
14	4.47
15	4.05
15	4.14
15	4.01
15	3.95
15	4.05
16	4.20
16	4.50
16	5.32
16	4.42
16	5.24
17	4.54
17	5.23
17	4.32
17	4.66
17	3.86
18	5.02
18	4.10
18	5.08
18	4.94
18	5.18
19	4.80
19	4.73
19	4.82
19	4.69
19	4.27
20	4.55
20	4.76
20	4.45
20	4.85
20	4.02
